conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1907943793602568287,Thu Apr 03 23:50:22 +0000 2025,0.0,Ayo coba tebak berapa harga opening IHSG tanggal 8 nanti? #saham Amerika sendiri aja dihantam besar-besaran https://t.co/OZ9NFWVPku,1.907943793602568e+18,https://pbs.twimg.com/media/GnpgxEXaMAI2Saz.jpg,,in,,0.0,0.0,0.0,https://x.com/frxldi/status/1907943793602568287,1.0580039686331064e+18,frxldi
1907651208766173491,Thu Apr 03 23:42:28 +0000 2025,0.0,@riowijaya @Lusbowln @asumsico Menurut saya IHSG kemungkinan melemah 2-3% minggu depan mulai 8 April 2025 setelah libur Lebaran akibat tarif impor AS baru (32% untuk Indonesia). Ini bisa tekan ekspor turunkan laba perusahaan dan bearish di pasar. Rupiah juga diprediksi melemah ke Rp17.000 per dolar tambah https://t.co/7CD3XJWj2F,1.9079418038289492e+18,https://pbs.twimg.com/media/GnglrYbbAAAbx1A.jpg,riowijaya,in,wherever you are,0.0,0.0,0.0,https://x.com/grok/status/1907941803828949427,1.7206651831889224e+18,grok
1907934803158249601,Thu Apr 03 23:14:39 +0000 2025,0.0,Udah downtrend kena trade war fix nih tinggalin IHSG? https://t.co/ZgdO2wgzwJ,1.9079348031582495e+18,,,in,Indonesia,0.0,0.0,0.0,https://x.com/whproject_id/status/1907934803158249601,1.2953207656596603e+18,whproject_id
1907933268659548607,Thu Apr 03 23:08:33 +0000 2025,824.0,Respon sejauh ini : - Kemenko Ekonomi akui kebijakan tarif ini akan pukul ekspor RI ke US - para pengusaha eksportir USA kuatir akan anjloknya eksport. Dan ini bisa berimbas pd PHK. - analis bilang rupiah bisa tembus 17.000 dan ihsg anjlok lagi 🇲🇨🇲🇨🇲🇨🇲🇨,1.9079332686595487e+18,,,in,,27.0,49.0,253.0,https://x.com/Strategi_Bisnis/status/1907933268659548607,190535830.0,Strategi_Bisnis
1907931879270912454,Thu Apr 03 23:03:03 +0000 2025,0.0,Lebih tepatnya jika perekonomian jatuh maka akan terefleksikan lebih cepat di IHSG. Tetapi ketika IHSG dan harga #saham jatuh maka belum tentu ekonomi jatuh.,1.907931883939193e+18,,frxldi,in,,0.0,1.0,0.0,https://x.com/frxldi/status/1907931883939193100,1.0580039686331064e+18,frxldi
1907931879270912454,Thu Apr 03 23:03:03 +0000 2025,0.0,Ditengah tarif yang berlaku tinggal menunggu waktu sebelum terefleksikan ke IHSG. Tentu #saham bukan perhitungan konkret bahwa akan seirama dengan perekonomian. Indeks saham jatuh tidak berarti perekonomian jatuh. Ingat Investor saham bahkan tidak ada 10% dari total populasi.,1.9079318824378816e+18,,frxldi,in,,0.0,1.0,0.0,https://x.com/frxldi/status/1907931882437881961,1.0580039686331064e+18,frxldi
1907925109853270409,Thu Apr 03 22:36:08 +0000 2025,0.0,Jir ihsg udh 'accrued' duluan kmrn wkwk,1.9079251098532705e+18,,,in,,0.0,0.0,0.0,https://x.com/farhan2049/status/1907925109853270409,1.0988752468519812e+18,farhan2049
1907775443551269016,Thu Apr 03 22:13:04 +0000 2025,1.0,@Ikhwanazis89 @rocaf0rt @prabowo @KemenkeuRI @bank_indonesia Waduh jangan sampe di bawah 3.000 ya mas. Mungkin untuk stabilitas IHSG sekarang udah better drpd awal Maret ya? Soalnya awal Maret CNBC sudah bilang kalau penurunannya paling siginifikan. https://t.co/7Dc1NLltJt,1.9079193069875569e+18,,Ikhwanazis89,in,,0.0,1.0,0.0,https://x.com/horsedeen/status/1907919306987556887,1.5989050659681403e+18,horsedeen
1907775443551269016,Thu Apr 03 22:06:27 +0000 2025,3.0,@horsedeen @rocaf0rt @prabowo @KemenkeuRI @bank_indonesia IHSG turun gak signifikan kak. Selama IHSG masih di atas 3.000 semua masih baik-baik aja. Apalagi current IHSG even way above 5.000 Resilient dan husnudzon banget investor stock market di Indo.,1.9079176383088684e+18,,horsedeen,in,,0.0,1.0,0.0,https://x.com/Ikhwanazis89/status/1907917638308868257,2335942801.0,Ikhwanazis89
1907914590173933784,Thu Apr 03 21:54:20 +0000 2025,0.0,IHSG core,1.9079145901739336e+18,,,in,Indonesia,0.0,1.0,0.0,https://x.com/AjWidjanarko_/status/1907914590173933784,9.126971730615256e+17,AjWidjanarko_
